"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BAKER LAKE","NU","Degrés-jours","Degrés-jours Au-dessous de 5 °C","1120,8","1021,6","962,4","652,3","339,7","43,8","0,2","2,0","74,6","345,9","712,8","960,2","6236,3","C"
"BAKER LAKE","NU","Degrés-jours","Degrés-jours Au-dessous de 10 °C","1275,8","1163,3","1117,4","802,3","494,4","149,3","16,2","38,1","199,3","500,8","862,8","1115,2","7734,8","C"
"BAKER LAKE","NU","Degrés-jours","Degrés-jours Au-dessous de 15 °C","1430,8","1305,1","1272,4","952,3","649,4","290,6","100,5","153,0","347,1","655,8","1012,8","1270,2","9439,9","C"
"BAKER LAKE","NU","Degrés-jours","Degrés-jours Au-dessous de 18 °C","1523,8","1390,1","1365,4","1042,3","742,4","379,9","183,3","241,6","437,1","748,8","1102,8","1363,2","10520,6","C"
"BAKER LAKE","NU","Quintiles","Quintile 1 (limite inférieure)","0,2","0,6","1,0","0,0","0,0","0,4","9,8","1,4","10,8","4,7","4,8","2,0","",""
"BAKER LAKE","NU","Quintiles","Quintile 1 (limite supérieure)","3,4","2,7","5,9","4,2","5,0","7,0","18,7","19,5","16,0","17,2","8,8","5,9","",""
"BAKER LAKE","NU","Quintiles","Quintile 2 (limite supérieure)","5,2","5,5","10,2","6,7","12,0","15,3","23,5","37,6","36,8","20,8","13,0","9,0","",""
"BAKER LAKE","NU","Quintiles","Quintile 3 (limite supérieure)","8,7","6,9","13,6","12,5","16,7","22,2","32,6","48,2","47,6","24,8","17,5","12,4","",""
"BAKER LAKE","NU","Quintiles","Quintile 4 (limite supérieure)","10,0","10,6","15,9","16,7","23,9","35,5","58,6","68,4","71,6","33,1","24,5","16,8","",""
"BAKER LAKE","NU","Quintiles","Quintile 5 (limite supérieure)","28,1","38,5","49,0","67,2","37,8","59,8","80,2","98,6","89,2","70,2","38,9","26,4","",""
"BAKER LAKE","NU","Humidex","Jours avec humidex >= 30","0,0","0,0","0,0","0,0","0,0","0,07","0,33","0,17","0,0","0,0","0,0","0,0","0,57","A"
"BAKER LAKE","NU","Humidex","Jours avec humidex >= 35","0,0","0,0","0,0","0,0","0,0","0,0","0,07","0,0","0,0","0,0","0,0","0,0","0,07","A"
"BAKER LAKE","NU","Humidex","Jours avec humidex >= 40","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"BAKER LAKE","NU","Humidex","Indice humidex extrême","-2,0","-2,7","1,2","4,1","15,2","33,1","37,8","33,4","26,1","13,5","1,7","1,0","",""
"BAKER LAKE","NU","Humidex","Indice humidex extrême (aaaa/mm/jj)","2000/01/28","2012/02/04","1999/03/26","1980/04/30","2014/05/29","2013/06/30","1955/07/11","1991/08/09","1953/09/06","2015/10/01","1969/11/02","2010/12/18",""," "
"BAKER LAKE","NU","Refroidissement éolien","Jours avec refroidissement éolien < -20","30,6","28,2","30,5","26,5","10,5","0,07","0,0","0,0","0,07","8,8","27,1","30,5","192,9","A"
"BAKER LAKE","NU","Refroidissement éolien","Jours avec refroidissement éolien  < -30","29,7","27,7","27,3","17,5","1,7","0,0","0,0","0,0","0,0","1,5","20,1","28,1","153,5","A"
"BAKER LAKE","NU","Refroidissement éolien","Jours avec refroidissement éolien < -40","26,4","24,4","20,5","5,3","0,0","0,0","0,0","0,0","0,0","0,0","7,7","20,5","104,7","A"
"BAKER LAKE","NU","Refroidissement éolien","Jours avec refroidissement éolien < -50","15,7","15,5","8,6","0,17","0,0","0,0","0,0","0,0","0,0","0,0","0,48","7,6","48,1","A"
"BAKER LAKE","NU","Refroidissement éolien","Refroidissement éolien extrême","-71,5","-70,5","-66,1","-58,5","-42,3","-23,5","-5,8","-10,2","-23,0","-46,9","-59,2","-64,0","",""
"BAKER LAKE","NU","Refroidissement éolien","Refroidissement éolien extrême (aaaa/mm/jj)","1970/01/27","1972/02/27","1972/03/03","1964/04/10","1966/05/04","1972/06/02","1972/07/11","1979/08/30","1965/09/28","1978/10/20","1958/11/27","1980/12/31",""," "
"BAKER LAKE","NU","Humidité","Pression de vapeur moyenne (kPa)","0,0","0,0","0,1","0,2","0,4","0,7","1,0","1,0","0,7","0,4","0,1","0,1","0,4","A"
"BAKER LAKE","NU","Humidité","Humidité relative moyenne - 0600HNL (%)","67,3","66,1","69,2","76,2","85,6","82,7","80,5","86,7","88,2","87,2","76,4","69,8","78,0","A"
"BAKER LAKE","NU","Humidité","Humidité relative moyenne - 1500HNL (%)","66,7","65,5","68,8","76,2","80,6","65,5","57,1","63,5","72,4","83,6","76,1","69,7","70,5","A"
"BAKER LAKE","NU","Pression","Pression moyenne à la station (kPa)","101,2","101,4","101,6","101,7","101,6","101,1","100,7","100,8","100,8","101,0","101,1","101,0","101,2","A"
"BAKER LAKE","NU","Pression","Pression moyenne au niveau de la mer (kPa)","101,5","101,7","102,0","102,0","101,9","101,5","101,1","101,1","101,1","101,3","101,4","101,4","101,5","A"
"BAKER LAKE","NU","Visibilité ","Visibilité < 1 km (heures avec)","81,0","65,0","55,0","28,9","14,4","8,1","10,3","2,3","4,0","16,4","32,9","61,9","380,3","A"
"BAKER LAKE","NU","Visibilité ","Visibilité 1 à 9 km (heures avec)","136,4","126,7","115,9","93,5","62,3","18,8","15,5","19,3","34,6","85,2","108,8","131,2","948,4","A"
"BAKER LAKE","NU","Visibilité ","Visibilité > 9 km (heures avec)","511,8","478,5","563,0","595,3","662,9","691,3","716,4","720,5","676,5","638,7","572,1","542,0","7369,0","A"
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (10%)"," "," "," "," "," "," "," "," "," "," "," "," ","juil. 06",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (25%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  29",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (33%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  28",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (50%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  25",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (66%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  19",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (75%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  17",""
"BAKER LAKE","NU","Sans gel","Probabilités dernière température de printemps <= 0 °C, à la date indiquée ou après (90%)"," "," "," "," "," "," "," "," "," "," "," "," ","juin  11",""
"BAKER LAKE","NU","Sans gel","Probabilités première température d'automne <= 0 °C, à la date indiquée ou avant (10%)"," "," "," "," "," "," "," "," "," "," "," "," ","août  14",""
"BAKER LAKE","NU","Sans gel","Probabilités première température d'automne <= 0 °C, à la date indiquée ou avant (25%)"," "," "," "," "," "," "," "," "," "," "," "," ","août  26",""
"BAKER LAKE","NU","Sans gel","Probabilités première température d'automne <= 0 °C, à la date indiquée ou avant (33%)"," "," "," "," "," "," "," "," "," "," "," "," ","août  28",""
